Format,Revised_Format,Target_format
Christian Rock/Rap,Religious,No
Hip Hop,Urban,No
Urban Oldies/Blues,Oldies,No
Christian Music,Religious,No
Emergency Info,Other,No
"Classic hits, Talk",Talk,No
Classic R&B,R&B_Soul,No
Christian Contemporary/Southern Gospel,Religious,No
Religious; Christian Rock,Religious,No
Country/Talk/Sports,Country,Yes
Classic Pop,Oldies,No
Muscle Shoals,Other,No
Southern Gospel-Christian Contemporary,Religious,No
Public/College,Talk,No
Classic hip hop,Urban,No
Classical music/News,Talk,No
Rhythmic AC/Variety Hits,Variety,No
Country/Oldies/Southern Gospel,Country,Yes
Southern Gospel/Classic Country/Bluegrass,Religious,No
Country/Bluegrass,Country,Yes
Spanish Adult Hits,Spanish,No
"Urban Contemporary, Blues, Soul, Gospel, and Talk",Variety,No
Christian (Good News Network),Religious,No
Christian Country,Religious,No
Rhythmic Oldies,Oldies,No
Public Radio; News/Talk/Classical,Talk,No
Christian rock,Religious,No
Classic Country/Classic Hits,Country,Yes
Country/Rock,Country,Yes
Talk/Personality/Oldies,Oldies,No
Country/Classic Country,Country,Yes
Talk/Sports,Sports,Yes
Public Radio; Classical,Classical,No
Travel info,Talk,No
Country/Talk,Country,Yes
Hot Urban Adult Contemporary,Contemporary,No
Country/Sports,Country,Yes
CHR/Top 40,Top40,No
Urban Contemporary/Urban oldies,Contemporary,No
Southern gospel/Talk,Religious,No
Spanish Variety,Spanish,No
Inspirational music,Religious,No
Insprational music,Other,No
Black Gospel,Religious,No
Classic hits/Contemporary Christian,Religious,No
Adult Top 40 (CHR),Top40,No
Contemporary Christian (Air1),Religious,No
Contemporary Christian/Southern gospel,Religious,No
Educational,Other,No
News Talk Information,Talk,No
Rhythmic Top-40,Top40,No
Oldies/Classic rock,Oldies,No
Religious (Radio 74 Internationale),Religious,No
Pop Contemporary Hit Radio,Contemporary,No
Adult Standards/MOR,Other,No
"News/Talk, Sports",Talk,No
Alternative,Alternative,No
Rhythmic AC,Other,No
Native American/Americana,Other,No
Public Radio/Full service,Talk,No
Religious (LifeTalk Radio),Religious,No
Adult contemporary/Classic rock,Contemporary,No
Dance,Urban,No
Christian (LifeTalk Radio),Religious,No
Adult Album Alternative/Modern Rock hybrid,Alternative,No
Country/Classic Rock,Country,Yes
Christian Contemporary (K-Love),Religious,No
News/Talk/Information,Talk,No
Easy Listening,Easy_Listening,No
Worship music (Air1),Religious,No
News/Talk/Sports,Talk,No
Classical/Public radio,Classical,No
Spanish Sports,Spanish,No
Regional Spanish,Spanish,No
Contemporary Christian/Religious,Religious,No
Spanish romantic,Spanish,No
Religious (Family Life Radio),Religious,No
80s Hits,Oldies,No
Business News,Talk,No
Spanish News/Talk/Sports,Spanish,No
Light Adult contemporary,Contemporary,No
Jazz/Classical,Jazz,No
Adult Alternative,Alternative,No
Rhythmic adult contemporary,Contemporary,No
Spanish Contemporary Christian,Religious,No
Old School Hip Hop,Urban,No
Spanish News/Talk,Spanish,No
Spanish contemporary hit radio,Spanish,No
Ethnic/Native American,Ethnic,No
Spanish Latin Pop,Spanish,No
Native American Variety,Variety,No
Smooth Jazz/Variety,Jazz,No
Rock/Variety,Rock,No
Country/Native American Music,Country,Yes
Travel information,Talk,No
80s/90s variety,Oldies,No
90's Hits,Oldies,No
Blues,Blues,Yes
Religious/Spanish religious,Religious,No
Tejano,Other,No
Oldies/Classic Hits,Oldies,No
Classic rock B-sides and rarities,Rock,No
Brokered/Christian,Religious,No
Community,Other,No
Talk/Personality,Talk,No
Christian Contemporary (Air1),Religious,No
Christian Talk (Bott Radio Network),Religious,No
Public radio/News/Classical/Jazz,Talk,No
News/Sports/Talk,Talk,No
Religious (Here's Help Network),Religious,No
Contemporary Inspirational,Contemporary,No
Contemporary hit radio,Contemporary,No
Mainstream Country,Country,Yes
Urban,Urban,No
Conservative Talk,Talk,No
News-talk-adult standards,Talk,No
"Gospel, off air",Religious,No
Classic Contemporary Christian,Religious,No
R&B/Urban Gospel,Religious,No
Caribbean,Other,No
Gospel/Country,Religious,No
Contemporary Christian (Smile FM),Religious,No
Mexican Regional,Spanish,No
Classical music/News talk,Talk,No
Public radio/News/Hot talk/Jazz,Talk,No
Urban Religious,Religious,No
Oldies/Variety,Oldies,No
Classic hip-hop/funk/blues,Blues,Yes
Spanish Oldies,Spanish,No
Chinese,Asian,No
Vietnamese,Other,No
College radio,Other,No
Ethnic/Hawaiian,Ethnic,No
Spanish brokered,Spanish,No
Contemporary Christian Praise,Religious,No
Bilingual Talk,Other,No
Comedy,Other,No
Spanish AC,Spanish,No
News,Talk,No
Adult Standards/Talk,Other,No
Ranchera/Norteño Oldies,Oldies,No
Christian radio (Bott Radio Network),Religious,No
Spanish CHR,Spanish,No
Spanish Christian radio,Religious,No
Rhythmic Top 40 (CHR),Top40,No
Community radio,Other,No
Classic Rock/Variety,Rock,No
Spanish public radio,Spanish,No
Sports (CBS),Sports,Yes
Multilingual,Other,No
Christian radio (Family Radio),Religious,No
Korean,Asian,No
LGBTQ programming,Other,No
Punjabi Music,Other,No
Ranchero,Other,No
Catholic (Spanish),Religious,No
Rhythmic Hot AC,Other,No
Freeform (radio format),Other,No
Spanish Contemporary,Spanish,No
Iranian,Other,No
Soft AC,Easy_Listening,No
Christian Hits,Religious,No
Christian (CSN International),Religious,No
Pre-Teen,Other,No
Adult standards/Classic hits,Oldies,No
Lite Rock,Rock,No
Progressive talk,Talk,No
Portuguese,Other,No
Punjabi,Other,No
Spanish/Variety,Spanish,No
Traffic Info,Talk,No
South Asian,Asian,No
Spanish Talk/Standards,Spanish,No
Religious Teaching (AFR),Religious,No
Christian Alternative rock,Religious,No
Freeform Rock,Rock,No
Business talk,Talk,No
Spanish Catholic,Religious,No
Ethnic/Chinese,Ethnic,No
LGBTQ talk/EDM,Talk,No
Country (Radio Disney Country),Country,Yes
Christian radio (LifeTalk Radio),Religious,No
Adult Top 40,Top40,No
Catholic Talk,Religious,No
Rhythmic contemporary / Dance Hits,Contemporary,No
Business News/Talk,Talk,No
Regional Mexican Adult Contemporary,Contemporary,No
Chinese-language,Asian,No
Christian radio (Radio 74 Internationale),Religious,No
Bollywood music,Asian,No
Smooth AC,Other,No
Christian radio (Catholic)/Ethnic,Religious,No
Ethnic/Quechan,Ethnic,No
Spanish Talk,Spanish,No
Modern AC,Other,No
Adult Top 40/CHR,Top40,No
Regional Mexican/Chinese,Spanish,No
Beautiful music/Oldies,Oldies,No
AAA,Other,No
Ethnic/French,Ethnic,No
Rock/Blues,Rock,No
Christian Hits (Air1),Religious,No
Modern Popular Country,Country,Yes
"Low Power, Weather",Talk,No
Adult album alternative (AAA),Alternative,No
Christian AC,Religious,No
"Variety hits, Comedy",Variety,No
Classic country/Bluegrass,Country,Yes
Public/Classical,Classical,No
"Public radio; News, Classical music, Jazz (High Plains Public Radio)",Talk,No
Variety/college,Variety,No
Variety/AAA,Variety,No
Regional Mexican/Talk,Talk,No
Rhythmic CHR,Other,No
CHR,Other,No
Conservative News/Talk,Talk,No
Hot adult contemporary/Variety,Contemporary,No
all-Beatles,Other,No
Pop Classics,Oldies,No
Public radio / Variety,Variety,No
Public/News/Talk,Talk,No
Mainstream Top 40,Top40,No
Christian talk & music,Religious,No
Jazz/Public,Jazz,No
Independent/College radio,Other,No
Hot AC; CHR/Top 40,Top40,No
Oldies/Jazz,Jazz,No
News/Talk/Oldies,Talk,No
Christian/Variety,Religious,No
Spanish Tropical,Spanish,No
R&B,R&B_Soul,No
News Talk (Public Radio),Talk,No
Educational/Freeform,Other,No
Freeform/News/Talk,Talk,No
Christian/Ethnic,Religious,No
Portuguese contemporary,Contemporary,No
NPR Public/Community Radio,Talk,No
Talk/Nostalgia,Talk,No
Full Service/Adult Contemporary,Contemporary,No
Top-40 (CHR),Top40,No
News/Talk (Public Radio),Talk,No
Religion,Religious,No
"Alternative Folk, Jazz, Rock, Classicsl",Jazz,No
Rhythmic contemporary hit radio,Contemporary,No
"Classic/Contemporary/Alternative rock, Jazz, Community, and School District based programming",Jazz,No
Variety/Religious,Religious,No
Christian (Radio 74 Internationale),Religious,No
Spanish Religious/Pacifica,Religious,No
Salsa music,Urban,No
Spanish Tropical/Hispanic Urban,Spanish,No
Classical House,Classical,No
"Christian, classic country",Religious,No
Sports (ESPN Radio),Sports,Yes
Eclectic,Other,No
Religuous Teaching,Religious,No
Urban AC/Black Gospel,Religious,No
Urban Gospel/R&B,Religious,No
Catholic religious,Religious,No
Hot Talk,Talk,No
Haitian,Other,No
R&B/Hip-Hop,R&B_Soul,No
Spanish Sports (ESPN Deportes Radio),Spanish,No
Full service/Oldies,Oldies,No
CHR/Rhythmic,Other,No
Christian CHR,Religious,No
Tropical,Other,No
Salsa,Urban,No
Spanish Easy Listening,Spanish,No
Ethnic/Greek,Ethnic,No
Classic hits/Variety,Variety,No
Rap/Hip-Hop,Urban,No
Cubatón,Other,No
Reggae/Island Music,Urban,No
R&B/Reggae,R&B_Soul,No
Mexican,Spanish,No
Hispanic Urban,Urban,No
Public radio (National Public Radio),Talk,No
Reggae,Urban,No
Spanish Urban,Spanish,No
R&B/Variety,R&B_Soul,No
News/Jazz,Talk,No
Oldies/Easy Listening,Oldies,No
Spanish/Catholic,Religious,No
Spanish Christian Contemporary,Religious,No
Business Radio,Talk,No
Soft AC/Adult Standards,Easy_Listening,No
Spanish/Oldies,Spanish,No
Spanish Christian Conremporary,Religious,No
Christian Rock (Air 1),Religious,No
Ethnic/Greek & Spanish,Spanish,No
Religious (Effect Radio),Religious,No
Rhythmic Latin,Latin,No
Extreme variety [6],Variety,No
Classic country [7],Country,Yes
Spanish Top 40,Spanish,No
National Public Radio (NPR),Talk,No
Business News Talk,Talk,No
R&B/Jazz,Jazz,No
Inspirationale (AFR),Religious,No
True Oldies,Oldies,No
News/Talk/Sports Adult Standards Music,Talk,No
New Country,Country,Yes
Latin Pop,Latin,No
"Jazz, News, Sports and College",Talk,No
Modern country,Country,Yes
Public Broadcasting,Talk,No
College/variety,Other,No
Non-commercial educational FM,Other,No
Christian Spanish (Good News Network),Religious,No
Urban Religious (AFR),Religious,No
Modern adult contemporary,Contemporary,No
Contemporary & Classic country,Country,Yes
Classic Country/Southern Gospel,Country,Yes
News-Talk,Talk,No
News & Sports,Talk,No
Vietnamese Music & Talk Programming,Talk,No
Spanish / Mexican music programming,Spanish,No
Christian Contemporary ((Air1),Religious,No
Indie,Other,No
Rock Adult contemporary,Contemporary,No
Positive Country/Southern gospel/Bluegrass,Country,Yes
Bluegrass & Southern gospel,Religious,No
College / Top 40 (CHR),Top40,No
College/Diverse,Other,No
Spanish Music & Religious Programming,Religious,No
Religious/Inspirational,Religious,No
Holy Hip Hop & Contemporary Gospel,Religious,No
"Pacific Radio Group, Inc.",Other,No
"Hawaii Public Radio, Inc.",Other,No
"Salem Media of Hawaii, Inc.",Other,No
"Maui County Community Television, Inc.",Other,No
"Visionary Related Entertainment, LLC",Other,No
New West Broadcasting Corp.,Other,No
"Kekahu Foundation, Inc.",Other,No
"Mahalo Multimedia, LLC",Other,No
"SM-KCCN, LLC",Other,No
Hilo Christian Broadcasting Corp.,Religious,No
"Immaculate Heart Media, Inc.",Other,No
Kauai Christian Assembly,Religious,No
Ohana Broadcast Company LLC,Other,No
Capstar TX LLC,Other,No
Calvary Chapel Lihue,Religious,No
"Visionary Related Entertainment 11, Inc.",Other,No
Faith Up!,Other,No
FM 97 Associates,Other,No
"Jackman Holding Company, LLC",Other,No
"Resonate Hawaii, LLC",Other,No
"Visionary Related Entertainment, Inc.",Other,No
"Calvary Chapel of Twin Falls, Inc.",Religious,No
"Blow Up, LLC",Other,No
Kauai Broadcast Partners LLC,Other,No
First Assembly King's Cathedral and Chapels,Religious,No
RK Media Group,Other,No
Calvary Chapel Hilo,Religious,No
"SM-KINE, LLC",Other,No
KROS Radio Association,Other,No
"Hochman Hawaii Two, Inc.",Other,No
"Hochman Hawaii Four, Inc.",Other,No
Green Peter Eclectic Tunez,Other,No
Educational Media Foundation,Other,No
"SM-KKNE, LLC",Other,No
"Calvary Chapel of Honolulu, Inc.",Religious,No
"Maui Media Initiative, Inc.",Other,No
"Big D Consulting, Inc.",Other,No
"Geronimo Broadcasting, LLC",Other,No
North Kohala Community Resource Center,Other,No
KOKO FM,Other,No
The Sanctuary of Mana Ke'a Gardens dba Radio Alchemy,Other,No
"Hochman Hawaii Publishing, Inc.",Other,No
Paia Youth Council Inc.,Other,No
"Hochman Hawaii Three, Inc.",Other,No
"Hochman-McCann Hawaii, Inc.",Other,No
"SM-KPHW, LLC",Other,No
"Rey-Cel Broadcasting, Inc.",Other,No
"SM-KRTR-AM, LLC (operated by Pinoy Power Media)",Other,No
New Dynasty Culture Center,Other,No
Northshore Bible Truths,Religious,No
"JMK Communications, Inc.",Other,No
Waimea Baptist Church,Other,No
"SM-KRTR-FM, LLC",Other,No
"Hochman Hawaii Five, Inc.",Other,No
"Hochman Hawaii One, Inc.",Other,No
The University of Hawaii,Other,No
University of Hawaii at Hilo,Other,No
Calvary Chapel Upcountry,Country,Yes
"Beach Time Broadcast, LLC",Other,No
"Radio Hawaii, Inc.",Other,No
New West Broadcasting Corporation,Other,No
Resonate Hawaii LLC,Other,No
Ohana Broadcasters Corporation,Other,No
"Polynesian Broadcasting, Inc.",Other,No
Public radio; Jazz,Jazz,No
Public radio; News/Talk,Talk,No
Jazz/Big Band/Swing,Jazz,No
Christian rock (Effect Radio),Religious,No
NPR/Classical/Jazz,Jazz,No
News/Talk (KID simulcast),Talk,No
Public,Talk,No
"Public radio; News/Talk, Classical",Talk,No
Country (KWFI-FM simulcast),Country,Yes
Classical music / Public radio,Classical,No
Religious/Variety,Religious,No
Country/News/Talk,Country,Yes
Variety/student-run station,Variety,No
Public radio/Classical,Classical,No
90s hits,Oldies,No
Talk/Home Shopping/Sports,Sports,Yes
Full-Service Classic Country,Country,Yes
Classical/News & Information,Talk,No
Polish,Other,No
News Talk,Talk,No
"Classic hits/Oldies, News/Talk Information",Oldies,No
"Public radio, Jazz",Jazz,No
"Music, Public Affairs",Other,No
Adult contemporary/Mix,Contemporary,No
High school public radio,Other,No
News Talk/Sports,Talk,No
"Indie/College Music, News, Sports",Talk,No
Beautiful Music,Other,No
Eclectic Music/Talk,Talk,No
Ghanaian/African Variety,Variety,No
News/Jazz/Blues,Jazz,No
80's classic hits,Oldies,No
High School Broadcasting,Other,No
High School,Other,No
News/Talk; Public Radio,Talk,No
Classical; Public Radio,Classical,No
Variety hits/Farm,Variety,No
Alternative/Hard Rock,Alternative,No
Christian (Calvary Radio Network),Religious,No
Ethnic and News/Talk,Talk,No
R&B/Blues/Jazz/Gospel,Jazz,No
Alternative rock/College,Alternative,No
Contmporary Christian,Religious,No
Religious Talk,Religious,No
Christian talk and music,Religious,No
Classic country/Sports/Talk,Country,Yes
News/Talk & Adult standards,Talk,No
"Public radio (News/Talk, AAA)",Talk,No
Christian contemporary Hit,Religious,No
Heavy metal,Rock,No
R&B Oldies,Oldies,No
Student radio,Other,No
Classic Hits/Country,Country,Yes
Rock/Metal/Hip-Hop/Oldies,Oldies,No
Religious/Easy Listening,Religious,No
Classical/NPR,Talk,No
Contemporary hits radio,Contemporary,No
Top-40,Top40,No
Grade School,Other,No
Religious Talk (Bott Radio Network),Religious,No
Christian/Talk,Religious,No
Smooth rock,Rock,No
Music/Talk/Sports,Sports,Yes
Inspirational,Religious,No
Country/Folk/Oldies,Country,Yes
Modern Worship,Religious,No
Jazz & Classical,Jazz,No
Oldies/Classic hits/Classic Top 40,Oldies,No
Contemporary Christian/Variety,Religious,No
Public Radio/Classic Hits,Oldies,No
Classic Hits/Classic Rock/Classic Top 40/Oldies,Oldies,No
Brokered Programming,Other,No
Ragional Spanish,Spanish,No
Talk/Gospel,Religious,No
News/Sports,Talk,No
News and sports,Talk,No
Christian talk/music,Religious,No
Christian/The Life FM,Religious,No
80's hits,Oldies,No
Modern Rock/Alternative,Alternative,No
Adult Top-40,Top40,No
Classic hits/News,Oldies,No
Nostalgia,Other,No
Traffic Information,Talk,No
Oldies/News/Talk,Oldies,No
Iowa Public Radio & Classical,Classical,No
Christian Chinese,Religious,No
Catch-all adult contemporary,Contemporary,No
Classic Album Rock,Rock,No
Iowa Public Radio,Other,No
Country/Farm,Country,Yes
Christian Music/Talk,Religious,No
Oldies/News,Oldies,No
Alternative/Variety,Alternative,No
Farm/Classic country,Country,Yes
"NPR News, Classical, Jazz",Talk,No
Public radio; NPR News; Classical; Jazz,Talk,No
Classic hits & Classic rock,Rock,No
Top 40 Mix,Top40,No
Full service/Variety,Variety,No
"Modern rock, Urban, & Local",Urban,No
Religious/Adult Standards,Religious,No
Religious/Classical,Religious,No
College/Modern rock,Rock,No
Active rock/College radio,Rock,No
News/Talk/Sports/Adult Contemporary,Talk,No
Country and Agriculture,Country,Yes
Christian hit radio,Religious,No
Contemporary Christian/Positive Country,Religious,No
Christian/Adult contemporary,Religious,No
Southern gospel/Christian talk,Religious,No
Top 40 (CHR) & Rock,Top40,No
Classical/News/Talk,Talk,No
News/NPR,Talk,No
Christian Teaching and Talk,Religious,No
Southern Gospel/Bluegrass,Religious,No
Rock & Country,Country,Yes
Southern rock/Classic country,Country,Yes
College Radio/Christian,Religious,No
Adult standards/Soft adult contemporary,Contemporary,No
Top 40's during the day & Oldies Overnight,Oldies,No
Bluegrass & Country,Country,Yes
Modern Praise and Worship,Religious,No
Adult album alternative (Indie rock)/NPR,Alternative,No
College Progressive,Other,No
Sports; Talk,Sports,Yes
Religious / Gospel,Religious,No
Oldies/Full Service,Oldies,No
Top 40 (CHR)/Modern rock,Top40,No
Christian hip-hop,Religious,No
"Country and Cajun music, Swamp Pop and Cajun music",Country,Yes
"Sports, NBC Sports Radio",Sports,Yes
Contemporary Christian music (K-Love),Religious,No
Contemporary Christian music (Air1),Religious,No
Cajun/Swamp pop music,Cajun,Yes
"Christian, gospel, state, and local sports.",Religious,No
Cajun music/Swamp pop/zydeco music,Cajun,Yes
Public radio/NPR/PRI,Talk,No
Alternative music,Alternative,No
Ethnic Cajun,Cajun,Yes
Sports talk (Fox Sports Radio),Sports,Yes
Alternative rock with some other formats depending on the program.,Alternative,No
Urban/Variety,Urban,No
"Sports radio, ESPN Radio",Sports,Yes
Contemporary hits,Contemporary,No
Urban Gospel/Blues,Religious,No
Album Adult Alternative/Public radio/PRI,Alternative,No
Religious/Black Gospel,Religious,No
Contemporary Latino,Contemporary,No
Adult CHR,Other,No
"Classical music, Fine Arts and Talk/NPR/PRI/American Public Media",Talk,No
Soul/R&B Oldies-leaning urban adult contemporary,R&B_Soul,No
Contemporary Christian music,Religious,No
80's rock,Oldies,No
Religious programming (Bible Broadcasting Network),Religious,No
Jazz/NPR,Jazz,No
"Sports, (ESPN)",Sports,Yes
Services and programs for the blind and disabled.,Other,No
"Public radio, NPR, PRI",Talk,No
"Sports talk, ESPN Radio",Sports,Yes
Progressive music,Other,No
"Jazz, Blues,and New Orleans Community Music.",Jazz,No
Spanish language Christian,Religious,No
"Variety, Community radio",Variety,No
Top 40 (Rhythmic),Top40,No
Adult standards/Oldies,Oldies,No
soft rock,Rock,No
"Variety, College",Variety,No
Brokered,Other,No
Jazz/Public radio,Jazz,No
Religious Talk (CSN Internationale),Religious,No
Full service/Adult standards,Other,No
Religious/Contemporary Christian,Religious,No
Ethnic/Spanish,Spanish,No
College/Catholic Religious,Religious,No
Emergency Information,Other,No
Ethnic/Haitian,Ethnic,No
All News,Talk,No
Bollywood,Asian,No
Traffic Info/Smooth Jazz,Jazz,No
Russian,Other,No
Talk/Oldies,Oldies,No
High school radio,Other,No
"College radio, Alternative",Alternative,No
National Public Radio,Talk,No
New AC (NAC)/Smooth jazz,Jazz,No
Folk music,Folk,No
Various,Talk,No
Beautiful music/Easy listening,Other,No
Alternative rock/Hip Hop,Alternative,No
N.P.R.,Talk,No
Financial news,Talk,No
Tourists Information,Talk,No
Reading for the Blind,Other,No
"college, alternative",Alternative,No
Folk,Folk,No
Talking Information Center,Talk,No
Spanish Christian music,Religious,No
Your Explosive Alternative,Alternative,No
"Oldies ('50s, '60s and '70s)",Oldies,No
Album Oriented Rock,Rock,No
All Sports,Sports,Yes
Adult album alternative/Americana,Alternative,No
Tradition Country,Country,Yes
Christian Adult Contemporary,Religious,No
90s/2000s hits,Oldies,No
R&B Oldies/EDM,Oldies,No
Ethnic/Somali,Ethnic,No
Worship Music,Religious,No
Health Talk,Talk,No
Hmong Language,Other,No
Hot adult hits,Top40,No
Dance/EDM,Urban,No
Adult album alternative/Hot adult contemporary,Alternative,No
90's Alternative Rock,Oldies,No
Fundamentalist Christian,Religious,No
Country/Adult standards,Country,Yes
Urban (AFR),Urban,No
Talk/Classic hits,Talk,No
Classic soul,R&B_Soul,No
News/talk (Supertalk Mississippi),Talk,No
Gospel/Jazz,Religious,No
Classical (MPB Classical HD Radio),Classical,No
Reading Service,Other,No
Mainstream AC,Other,No
AFR,Other,No
Variety – Storm Alert Station,Variety,No
Country/Southern gospel,Religious,No
Bluegrass,Bluegrass,Yes
Jazz & Blues,Jazz,No
Christian contemporary (The Life FM),Religious,No
News / Talk,Talk,No
Top 40 Hits,Top40,No
Top 40/Pop,Top40,No
Christian contemporary (Spirit FM),Religious,No
Sports talk (ESPN Radio),Sports,Yes
Talk/Music,Talk,No
Contemporary Christian (The Good News Voice),Religious,No
News/Talk/Info,Talk,No
"News/Talk, Oldies",Talk,No
Community radio/Variety,Other,No
Hot AC/Top 40,Top40,No
Oldies/News/Talk,Talk,No
Religious Talk (CSN International),Religious,No
Free-format,Other,No
Grade School (K-12),Other,No
Branson Travel,Other,No
NPR/Variety,Variety,No
Alternative/Rock/NPR (varies),Alternative,No
"Oldies, Talk",Oldies,No
Christian contemporary (VCY America),Religious,No
Contemporary worship music (Air1),Contemporary,No
Classic country/Agriculture,Country,Yes
Public radio/Variety,Variety,No
Unknown,Other,No
Rock/College,Rock,No
Variety/Native American,Variety,No
Rock Hits,Rock,No
Classic/Modern rock,Rock,No
Jazz/Blues/Folk/Bluegrass,Jazz,No
"Rhythmic contemporary, Hip Hop",Contemporary,No
Ranchera,Other,No
Classical/Jazz,Jazz,No
Oldies/Talk,Oldies,No
Sports/Shopping,Sports,Yes
Latin Contemporary,Contemporary,No
Album Adult Modern rock,Rock,No
News/Talk-Simulcasts WNTK,Talk,No
AAA-Simulcast of WXRV Andover MA,Other,No
Eclectic Alternative,Alternative,No
Oldies (simulcast of WOBM (AM),Oldies,No
Freeform/Educational,Other,No
Simulcast of WTKU-FM,Other,No
College Radio / Silent,Other,No
Freeform/eclectic,Other,No
Simulcast of WJPG,Other,No
Jewish Religious,Religious,No
News/Talk; Classic hits,Talk,No
Adult contemporary/Soft rock,Contemporary,No
Simulcast of WSNJ,Other,No
NPR (Simulcast of WHYY-FM),Talk,No
Brokered Time,Other,No
Religious Spanish,Religious,No
Adult hits/Oldies,Oldies,No
College/Freeform,Other,No
Classical/Jazz (Simulcast of WRTI),Jazz,No
Modern active rock,Rock,No
Simulcast of WKMK,Other,No
Talk; Standards,Talk,No
Simulcast of WWFM,Other,No
Radio Disney,Other,No
Korean,Other,No
Hindi,Other,No
Simulcast of WXPN,Other,No
Haitian Religious,Religious,No
Talk (Progressive),Talk,No
New Mexico Music/Public radio,Other,No
Oldies/Spanish,Spanish,No
Classic rock/college,Rock,No
Children's radio,Other,No
Northern New Mexico music,Other,No
Ethnic Navajo,Ethnic,No
Regional Mexican and Tejano,Spanish,No
Freeform Variety,Variety,No
Top 40/CHR Pop,Top40,No
Catholic radio,Religious,No
